epoch:65, loss: 0.3582380885879199, other:0.58, company:0.59, address:0.94, date:0.65, total:0.70
epoch:66, loss: 0.2685266540873618, other:0.60, company:0.57, address:0.94, date:0.63, total:0.79
epoch:67, loss: 0.2753060423192524, other:0.61, company:0.70, address:0.83, date:0.64, total:0.67
epoch:68, loss: 0.3513306772425061, other:0.57, company:0.68, address:0.88, date:0.67, total:0.73
epoch:69, loss: 0.3919898068621045, other:0.57, company:0.66, address:0.92, date:0.69, total:0.69
epoch:70, loss: 0.31675513372534797, other:0.60, company:0.59, address:0.88, date:0.68, total:0.61
epoch:71, loss: 0.3367398985439823, other:0.54, company:0.62, address:0.91, date:0.67, total:0.69
epoch:72, loss: 0.3796597387819063, other:0.60, company:0.60, address:0.86, date:0.64, total:0.56
epoch:73, loss: 0.30361954264697577, other:0.62, company:0.66, address:0.85, date:0.62, total:0.55
epoch:74, loss: 0.25642665142104737, other:0.67, company:0.60, address:0.92, date:0.59, total:0.38
epoch:75, loss: 0.3724168074272928, other:0.56, company:0.60, address:0.89, date:0.67, total:0.64
epoch:76, loss: 0.32503193950369247, other:0.55, company:0.55, address:0.92, date:0.70, total:0.69
epoch:77, loss: 0.2684545024519875, other:0.64, company:0.54, address:0.92, date:0.69, total:0.56
epoch:78, loss: 0.2784149995162373, other:0.68, company:0.67, address:0.82, date:0.63, total:0.48
epoch:79, loss: 0.3141279095340343, other:0.62, company:0.58, address:0.93, date:0.60, total:0.59
epoch:80, loss: 0.4119836581959611, other:0.53, company:0.66, address:0.86, date:0.68, total:0.75
epoch:81, loss: 0.39528521249691645, other:0.56, company:0.61, address:0.90, date:0.71, total:0.65
epoch:82, loss: 0.33957606465333984, other:0.60, company:0.64, address:0.90, date:0.70, total:0.63
epoch:83, loss: 0.28559815440149533, other:0.61, company:0.70, address:0.83, date:0.68, total:0.65
epoch:84, loss: 0.33109516054391863, other:0.57, company:0.65, address:0.88, date:0.68, total:0.68
epoch:85, loss: 0.30530939754985625, other:0.58, company:0.62, address:0.92, date:0.62, total:0.68
epoch:86, loss: 0.3987545940847624, other:0.60, company:0.66, address:0.89, date:0.61, total:0.62
epoch:87, loss: 0.2931929538647334, other:0.56, company:0.65, address:0.87, date:0.67, total:0.76
epoch:88, loss: 0.2616782623032729, other:0.63, company:0.70, address:0.85, date:0.69, total:0.57
epoch:89, loss: 0.27254018372013455, other:0.61, company:0.50, address:0.93, date:0.69, total:0.62
epoch:90, loss: 0.3239471155972708, other:0.56, company:0.69, address:0.89, date:0.70, total:0.69
epoch:91, loss: 0.2684878784985769, other:0.65, company:0.52, address:0.91, date:0.67, total:0.53
epoch:92, loss: 0.32522212728148414, other:0.60, company:0.66, address:0.89, date:0.68, total:0.60
epoch:93, loss: 0.2974274528878076, other:0.62, company:0.64, address:0.86, date:0.71, total:0.53
epoch:94, loss: 0.2560964951202983, other:0.65, company:0.69, address:0.89, date:0.67, total:0.51
epoch:95, loss: 0.29970774125485194, other:0.61, company:0.65, address:0.86, date:0.71, total:0.48
epoch:96, loss: 0.3584999171750886, other:0.53, company:0.59, address:0.93, date:0.73, total:0.76
epoch:97, loss: 0.2613385917530173, other:0.57, company:0.69, address:0.91, date:0.73, total:0.68
epoch:98, loss: 0.23688555388223556, other:0.61, company:0.63, address:0.87, date:0.72, total:0.67
epoch:99, loss: 0.2715397870256787, other:0.61, company:0.65, address:0.91, date:0.67, total:0.65
epoch:100, loss: 0.25251600238538924, other:0.60, company:0.58, address:0.95, date:0.70, total:0.59
epoch:101, loss: 0.30607384592294695, other:0.61, company:0.54, address:0.94, date:0.72, total:0.46
epoch:102, loss: 0.2563468287033694, other:0.62, company:0.59, address:0.95, date:0.67, total:0.57
epoch:103, loss: 0.26100714121546065, other:0.63, company:0.59, address:0.89, date:0.70, total:0.52
epoch:104, loss: 0.23885184767700376, other:0.65, company:0.60, address:0.90, date:0.72, total:0.49
epoch:105, loss: 0.33979233914897555, other:0.60, company:0.71, address:0.87, date:0.70, total:0.57
epoch:106, loss: 0.2586577204721315, other:0.59, company:0.69, address:0.91, date:0.68, total:0.60
epoch:107, loss: 0.2551114620197387, other:0.66, company:0.61, address:0.89, date:0.69, total:0.55
epoch:108, loss: 0.2586853553141866, other:0.61, company:0.55, address:0.94, date:0.73, total:0.57
epoch:109, loss: 0.2671772214628401, other:0.62, company:0.60, address:0.91, date:0.75, total:0.59
epoch:110, loss: 0.29049035608768464, other:0.56, company:0.64, address:0.88, date:0.73, total:0.62
epoch:111, loss: 0.3554072203380721, other:0.56, company:0.58, address:0.93, date:0.76, total:0.69
epoch:112, loss: 0.22544694046179453, other:0.65, company:0.59, address:0.93, date:0.74, total:0.52
epoch:113, loss: 0.2599990665203049, other:0.63, company:0.47, address:0.93, date:0.74, total:0.53
epoch:114, loss: 0.258277668271746, other:0.59, company:0.55, address:0.90, date:0.74, total:0.65
epoch:115, loss: 0.3855879811303956, other:0.52, company:0.64, address:0.87, date:0.78, total:0.75
epoch:116, loss: 0.33193050168809435, other:0.55, company:0.56, address:0.92, date:0.78, total:0.64
epoch:117, loss: 0.30191336820522946, other:0.56, company:0.60, address:0.85, date:0.76, total:0.75
epoch:118, loss: 0.25576421064989907, other:0.60, company:0.65, address:0.93, date:0.74, total:0.61
epoch:119, loss: 0.3130320809426762, other:0.59, company:0.72, address:0.86, date:0.65, total:0.56
epoch:120, loss: 0.31911284980319793, other:0.58, company:0.73, address:0.86, date:0.76, total:0.61
epoch:121, loss: 0.2545245680071059, other:0.62, company:0.70, address:0.88, date:0.73, total:0.51
epoch:122, loss: 0.21638320769582475, other:0.67, company:0.56, address:0.87, date:0.70, total:0.55
epoch:123, loss: 0.37213966878397126, other:0.54, company:0.58, address:0.92, date:0.71, total:0.72
epoch:124, loss: 0.4349005645584492, other:0.49, company:0.63, address:0.91, date:0.78, total:0.75
epoch:125, loss: 0.25437745863483063, other:0.62, company:0.62, address:0.90, date:0.76, total:0.55
epoch:126, loss: 0.2512302053826196, other:0.61, company:0.55, address:0.93, date:0.78, total:0.60
epoch:127, loss: 0.342923832933108, other:0.55, company:0.67, address:0.88, date:0.75, total:0.70
epoch:128, loss: 0.25736317620390936, other:0.63, company:0.60, address:0.91, date:0.76, total:0.51
epoch:129, loss: 0.2751563889639718, other:0.59, company:0.54, address:0.92, date:0.78, total:0.57
epoch:130, loss: 0.2839460878145127, other:0.61, company:0.67, address:0.84, date:0.74, total:0.60
epoch:131, loss: 0.35180074984119053, other:0.55, company:0.63, address:0.92, date:0.76, total:0.66
epoch:132, loss: 0.30040955011333736, other:0.60, company:0.64, address:0.92, date:0.80, total:0.63
epoch:133, loss: 0.24715116392998468, other:0.59, company:0.57, address:0.94, date:0.83, total:0.64
epoch:134, loss: 0.24253536097350575, other:0.60, company:0.67, address:0.90, date:0.76, total:0.58
epoch:135, loss: 0.3240412279253914, other:0.55, company:0.72, address:0.86, date:0.72, total:0.71
epoch:136, loss: 0.2664742876021635, other:0.66, company:0.65, address:0.88, date:0.74, total:0.55
epoch:137, loss: 0.21814781377712886, other:0.67, company:0.74, address:0.83, date:0.69, total:0.56
epoch:138, loss: 0.2170017529811178, other:0.63, company:0.69, address:0.88, date:0.77, total:0.60
epoch:139, loss: 0.2834144113319261, other:0.61, company:0.67, address:0.92, date:0.75, total:0.55
epoch:140, loss: 0.28068977147340773, other:0.62, company:0.66, address:0.92, date:0.74, total:0.54
epoch:141, loss: 0.2504980273189999, other:0.62, company:0.65, address:0.94, date:0.73, total:0.59
epoch:142, loss: 0.34470783919095993, other:0.56, company:0.69, address:0.91, date:0.80, total:0.65
epoch:143, loss: 0.2517775827220508, other:0.63, company:0.62, address:0.93, date:0.73, total:0.50
epoch:144, loss: 0.25740776771590823, other:0.62, company:0.61, address:0.94, date:0.78, total:0.58
epoch:145, loss: 0.2898101748100349, other:0.61, company:0.70, address:0.92, date:0.74, total:0.52
epoch:146, loss: 0.26145948469638824, other:0.58, company:0.60, address:0.93, date:0.80, total:0.68
epoch:147, loss: 0.27460951123918803, other:0.61, company:0.63, address:0.90, date:0.72, total:0.65
epoch:148, loss: 0.2785043886729649, other:0.57, company:0.63, address:0.92, date:0.80, total:0.69
epoch:149, loss: 0.23500680043583824, other:0.63, company:0.65, address:0.93, date:0.76, total:0.51
epoch:150, loss: 0.2717004435048217, other:0.58, company:0.66, address:0.90, date:0.80, total:0.69
