epoch:0, loss: 1.03687913329513, other:0.93|0.96|0.94, company:0.00|0.00|0.00, address:0.89|0.34|0.50, date:0.00|0.00|0.00, total:0.04|0.39|0.08
epoch:1, loss: 0.7641872189663075, other:0.93|0.96|0.94, company:0.01|0.71|0.01, address:0.90|0.38|0.54, date:0.00|0.08|0.01, total:0.21|0.22|0.21
epoch:2, loss: 0.6365983486175537, other:0.86|0.97|0.91, company:0.33|0.62|0.43, address:0.91|0.39|0.54, date:0.18|0.26|0.21, total:0.56|0.16|0.25
epoch:3, loss: 0.5652526506671199, other:0.85|0.98|0.91, company:0.37|0.76|0.49, address:0.94|0.42|0.58, date:0.39|0.29|0.33, total:0.64|0.16|0.25
epoch:4, loss: 0.5154007220709765, other:0.85|0.98|0.91, company:0.72|0.74|0.73, address:0.90|0.44|0.59, date:0.48|0.29|0.36, total:0.63|0.17|0.27
epoch:5, loss: 0.4845018342689232, other:0.83|0.98|0.90, company:0.60|0.82|0.69, address:0.95|0.46|0.62, date:0.48|0.28|0.36, total:0.75|0.15|0.25
epoch:6, loss: 0.44083022519394205, other:0.84|0.98|0.90, company:0.72|0.82|0.77, address:0.96|0.46|0.62, date:0.53|0.30|0.39, total:0.73|0.17|0.27
epoch:7, loss: 0.4176162271587937, other:0.84|0.98|0.90, company:0.75|0.83|0.79, address:0.97|0.48|0.64, date:0.61|0.27|0.38, total:0.73|0.18|0.28
epoch:8, loss: 0.3975630049352293, other:0.83|0.99|0.90, company:0.78|0.84|0.81, address:0.98|0.46|0.63, date:0.62|0.30|0.40, total:0.78|0.18|0.29
epoch:9, loss: 0.3804075397827007, other:0.86|0.98|0.92, company:0.82|0.83|0.83, address:0.98|0.47|0.64, date:0.64|0.30|0.41, total:0.68|0.22|0.33
epoch:10, loss: 0.36252259656235025, other:0.85|0.99|0.92, company:0.89|0.78|0.83, address:0.96|0.49|0.65, date:0.65|0.34|0.44, total:0.77|0.21|0.33
epoch:11, loss: 0.3537255459361606, other:0.84|0.99|0.91, company:0.81|0.83|0.82, address:0.98|0.49|0.65, date:0.70|0.33|0.45, total:0.85|0.19|0.31
epoch:12, loss: 0.33800234728389317, other:0.85|0.99|0.91, company:0.83|0.83|0.83, address:0.98|0.51|0.67, date:0.75|0.31|0.43, total:0.81|0.21|0.33
epoch:13, loss: 0.32689099234563335, other:0.84|0.99|0.91, company:0.85|0.81|0.83, address:0.98|0.50|0.66, date:0.78|0.29|0.43, total:0.85|0.21|0.33
epoch:14, loss: 0.32935921958199255, other:0.84|0.99|0.91, company:0.81|0.83|0.82, address:0.99|0.50|0.66, date:0.75|0.31|0.44, total:0.85|0.21|0.33
epoch:15, loss: 0.3162632954341394, other:0.84|0.99|0.91, company:0.91|0.76|0.83, address:0.97|0.50|0.66, date:0.78|0.30|0.44, total:0.84|0.21|0.34
epoch:16, loss: 0.30958819665290693, other:0.84|0.99|0.91, company:0.88|0.79|0.83, address:0.98|0.51|0.67, date:0.77|0.33|0.46, total:0.88|0.19|0.32
epoch:17, loss: 0.3045242196983761, other:0.83|0.99|0.91, company:0.87|0.80|0.83, address:0.99|0.50|0.67, date:0.78|0.37|0.50, total:0.92|0.19|0.32
epoch:18, loss: 0.2954171448945999, other:0.83|0.99|0.90, company:0.88|0.80|0.84, address:0.98|0.54|0.70, date:0.80|0.32|0.45, total:0.94|0.19|0.31
epoch:19, loss: 0.2873283100348932, other:0.85|0.99|0.91, company:0.88|0.80|0.84, address:0.98|0.56|0.71, date:0.79|0.32|0.46, total:0.90|0.21|0.34
epoch:20, loss: 0.27913612955146366, other:0.87|0.99|0.92, company:0.86|0.82|0.84, address:0.98|0.58|0.73, date:0.82|0.35|0.49, total:0.87|0.23|0.36
epoch:21, loss: 0.27302132381333244, other:0.86|0.99|0.92, company:0.88|0.80|0.84, address:0.98|0.59|0.74, date:0.85|0.34|0.48, total:0.88|0.22|0.36
epoch:22, loss: 0.26538970569769543, other:0.86|0.99|0.92, company:0.90|0.81|0.85, address:0.99|0.58|0.73, date:0.82|0.39|0.53, total:0.90|0.22|0.36
epoch:23, loss: 0.2589693240545414, other:0.87|0.99|0.93, company:0.89|0.79|0.84, address:0.98|0.60|0.75, date:0.82|0.40|0.53, total:0.90|0.23|0.37
epoch:24, loss: 0.254704456086512, other:0.88|0.99|0.93, company:0.91|0.80|0.85, address:0.98|0.59|0.74, date:0.87|0.34|0.49, total:0.82|0.27|0.41
epoch:25, loss: 0.2516104639680297, other:0.87|0.99|0.93, company:0.93|0.78|0.85, address:0.98|0.60|0.74, date:0.87|0.38|0.53, total:0.90|0.23|0.37
epoch:26, loss: 0.24729644038059093, other:0.87|0.99|0.93, company:0.91|0.80|0.85, address:0.99|0.62|0.76, date:0.90|0.36|0.51, total:0.90|0.24|0.37
epoch:27, loss: 0.2505577708835955, other:0.86|0.99|0.92, company:0.91|0.76|0.83, address:0.99|0.60|0.75, date:0.91|0.33|0.49, total:0.89|0.25|0.38
epoch:28, loss: 0.2491078128417333, other:0.88|0.99|0.93, company:0.87|0.82|0.84, address:0.99|0.61|0.75, date:0.87|0.41|0.56, total:0.90|0.25|0.39
epoch:29, loss: 0.2436310604766563, other:0.86|1.00|0.92, company:0.92|0.79|0.85, address:0.98|0.64|0.77, date:0.90|0.36|0.51, total:0.94|0.22|0.35
epoch:30, loss: 0.2442415781595089, other:0.88|0.99|0.93, company:0.87|0.82|0.84, address:0.99|0.64|0.77, date:0.90|0.36|0.51, total:0.89|0.26|0.40
epoch:31, loss: 0.23197009221271234, other:0.88|0.99|0.93, company:0.89|0.82|0.86, address:0.99|0.66|0.79, date:0.87|0.42|0.56, total:0.93|0.23|0.37
epoch:32, loss: 0.2397618547633842, other:0.88|0.99|0.93, company:0.89|0.77|0.83, address:0.98|0.66|0.79, date:0.90|0.37|0.53, total:0.91|0.24|0.38
epoch:33, loss: 0.22405389779143864, other:0.88|0.99|0.94, company:0.92|0.81|0.86, address:0.99|0.63|0.77, date:0.90|0.41|0.56, total:0.90|0.26|0.40
epoch:34, loss: 0.23424096626264077, other:0.86|1.00|0.92, company:0.92|0.80|0.86, address:0.98|0.68|0.80, date:0.92|0.35|0.51, total:0.96|0.21|0.34
epoch:35, loss: 0.2158194057367466, other:0.90|0.99|0.94, company:0.94|0.80|0.86, address:0.99|0.68|0.81, date:0.92|0.40|0.56, total:0.87|0.29|0.44
epoch:36, loss: 0.22219886492799829, other:0.88|1.00|0.94, company:0.94|0.78|0.85, address:0.99|0.63|0.77, date:0.90|0.44|0.59, total:0.92|0.26|0.40
epoch:37, loss: 0.2309111754099528, other:0.86|1.00|0.92, company:0.90|0.83|0.86, address:0.98|0.68|0.80, date:0.92|0.39|0.55, total:0.97|0.20|0.34
epoch:38, loss: 0.22353792632067646, other:0.88|0.99|0.94, company:0.88|0.81|0.84, address:0.99|0.63|0.77, date:0.91|0.40|0.56, total:0.89|0.27|0.41
epoch:39, loss: 0.22015573857007203, other:0.88|1.00|0.94, company:0.90|0.79|0.84, address:0.99|0.62|0.77, date:0.92|0.39|0.55, total:0.90|0.27|0.42
epoch:40, loss: 0.21635486075171717, other:0.87|1.00|0.93, company:0.94|0.80|0.86, address:0.99|0.63|0.77, date:0.93|0.39|0.55, total:0.93|0.25|0.39
epoch:41, loss: 0.21627142252745452, other:0.90|0.99|0.94, company:0.89|0.83|0.86, address:0.98|0.68|0.80, date:0.91|0.42|0.57, total:0.89|0.29|0.44
epoch:42, loss: 0.2090187602572971, other:0.89|1.00|0.94, company:0.92|0.82|0.87, address:0.99|0.68|0.80, date:0.92|0.43|0.58, total:0.93|0.26|0.40
epoch:43, loss: 0.20295200524506746, other:0.90|0.99|0.95, company:0.91|0.81|0.86, address:0.98|0.70|0.82, date:0.91|0.43|0.58, total:0.89|0.30|0.45
epoch:44, loss: 0.2095552451080746, other:0.88|1.00|0.94, company:0.93|0.82|0.87, address:0.99|0.70|0.82, date:0.93|0.37|0.53, total:0.94|0.26|0.40
