epoch:0, loss: 1.323094903298144, other:0.65, company:0.00, address:0.00, date:0.28, total:0.00
epoch:1, loss: 1.0702859253253576, other:0.60, company:0.00, address:0.00, date:0.49, total:0.00
epoch:2, loss: 0.7542230959208507, other:0.81, company:0.00, address:0.00, date:0.31, total:0.00
epoch:3, loss: 0.6301427663497206, other:0.82, company:0.00, address:0.08, date:0.26, total:0.00
epoch:4, loss: 0.5388247961143278, other:0.84, company:0.00, address:0.39, date:0.04, total:0.00
epoch:5, loss: 0.5011939237702567, other:0.68, company:0.00, address:0.78, date:0.03, total:0.00
epoch:6, loss: 0.4744854597550518, other:0.69, company:0.00, address:0.87, date:0.02, total:0.00
epoch:7, loss: 0.45497672006769, other:0.65, company:0.00, address:0.92, date:0.01, total:0.00
epoch:8, loss: 0.4388599474475069, other:0.66, company:0.00, address:0.94, date:0.02, total:0.00
epoch:9, loss: 0.4173790795623131, other:0.62, company:0.00, address:0.96, date:0.05, total:0.00
epoch:10, loss: 0.40726646387352133, other:0.62, company:0.00, address:0.96, date:0.06, total:0.00
epoch:11, loss: 0.40213448090373344, other:0.55, company:0.00, address:0.98, date:0.07, total:0.00
epoch:12, loss: 0.36517245533331383, other:0.54, company:0.00, address:0.98, date:0.14, total:0.25
epoch:13, loss: 0.36327295539514076, other:0.57, company:0.00, address:0.97, date:0.16, total:0.50
epoch:14, loss: 0.351377823442783, other:0.56, company:0.00, address:0.96, date:0.18, total:0.63
epoch:15, loss: 0.3534389925452898, other:0.50, company:0.00, address:0.97, date:0.13, total:0.87
epoch:16, loss: 0.39108457374122907, other:0.57, company:0.00, address:0.95, date:0.20, total:0.67
epoch:17, loss: 0.3574255997279905, other:0.52, company:0.00, address:0.96, date:0.15, total:0.85
epoch:18, loss: 0.34205876375144384, other:0.57, company:0.00, address:0.96, date:0.13, total:0.81
epoch:19, loss: 0.32905529158295327, other:0.55, company:0.00, address:0.96, date:0.14, total:0.84
epoch:20, loss: 0.3144507720223013, other:0.49, company:0.00, address:0.96, date:0.25, total:0.92
epoch:21, loss: 0.33111258441547176, other:0.52, company:0.00, address:0.97, date:0.25, total:0.87
epoch:22, loss: 0.3335071953962434, other:0.55, company:0.00, address:0.96, date:0.34, total:0.81
epoch:23, loss: 0.29505832886920785, other:0.52, company:0.00, address:0.96, date:0.30, total:0.89
epoch:24, loss: 0.3055912759506477, other:0.53, company:0.00, address:0.96, date:0.40, total:0.87
epoch:25, loss: 0.31249675913801733, other:0.52, company:0.00, address:0.96, date:0.42, total:0.88
epoch:26, loss: 0.3333443082728476, other:0.57, company:0.00, address:0.97, date:0.41, total:0.73
epoch:27, loss: 0.3547081483422585, other:0.52, company:0.00, address:0.96, date:0.56, total:0.82
epoch:28, loss: 0.33663191013741045, other:0.51, company:0.00, address:0.97, date:0.53, total:0.85
epoch:29, loss: 0.3384199159325294, other:0.48, company:0.00, address:0.97, date:0.52, total:0.91
epoch:30, loss: 0.30017764275928716, other:0.50, company:0.00, address:0.96, date:0.57, total:0.86
epoch:31, loss: 0.3057411304622326, other:0.51, company:0.00, address:0.98, date:0.49, total:0.85
epoch:32, loss: 0.2975823370353231, other:0.52, company:0.00, address:0.96, date:0.61, total:0.82
epoch:33, loss: 0.2663600638789951, other:0.48, company:0.00, address:0.98, date:0.60, total:0.87
epoch:34, loss: 0.31028058731331015, other:0.53, company:0.00, address:0.95, date:0.64, total:0.80
epoch:35, loss: 0.2942332332988955, other:0.47, company:0.00, address:0.96, date:0.73, total:0.85
