epoch:0, loss: 1.0569106031347204, other:0.94|0.96|0.95, company:0.00|0.00|0.00, address:0.88|0.36|0.51, date:0.00|0.00|0.00, total:0.05|0.38|0.08
epoch:1, loss: 0.7690383990605673, other:0.95|0.95|0.95, company:0.01|0.67|0.02, address:0.87|0.43|0.58, date:0.01|0.10|0.01, total:0.13|0.27|0.17
epoch:2, loss: 0.5782706649215134, other:0.90|0.97|0.93, company:0.42|0.85|0.56, address:0.93|0.45|0.61, date:0.25|0.29|0.27, total:0.46|0.21|0.29
epoch:3, loss: 0.4786119946727046, other:0.88|0.98|0.93, company:0.60|0.84|0.70, address:0.96|0.48|0.64, date:0.47|0.31|0.37, total:0.59|0.22|0.32
epoch:4, loss: 0.41626885202195907, other:0.87|0.98|0.92, company:0.90|0.65|0.75, address:0.93|0.51|0.66, date:0.61|0.30|0.40, total:0.62|0.23|0.33
epoch:5, loss: 0.37495668618767347, other:0.88|0.98|0.93, company:0.84|0.80|0.82, address:0.96|0.53|0.68, date:0.62|0.32|0.42, total:0.68|0.24|0.36
epoch:6, loss: 0.3450276763350875, other:0.88|0.99|0.93, company:0.81|0.83|0.82, address:0.98|0.54|0.69, date:0.72|0.34|0.46, total:0.72|0.25|0.38
epoch:7, loss: 0.342700289355384, other:0.86|0.99|0.92, company:0.78|0.84|0.81, address:0.98|0.53|0.69, date:0.73|0.33|0.46, total:0.85|0.21|0.34
epoch:8, loss: 0.3349389632542928, other:0.90|0.98|0.94, company:0.76|0.86|0.81, address:0.98|0.53|0.69, date:0.64|0.49|0.56, total:0.73|0.29|0.42
epoch:9, loss: 0.29726067737296774, other:0.88|0.99|0.93, company:0.90|0.78|0.84, address:0.98|0.52|0.68, date:0.73|0.43|0.54, total:0.80|0.27|0.40
epoch:10, loss: 0.30039095326706217, other:0.87|0.99|0.93, company:0.96|0.62|0.76, address:0.91|0.62|0.74, date:0.82|0.35|0.49, total:0.88|0.23|0.37
epoch:11, loss: 0.27362023956245846, other:0.91|0.99|0.95, company:0.94|0.73|0.82, address:0.97|0.58|0.72, date:0.83|0.41|0.55, total:0.67|0.38|0.48
epoch:12, loss: 0.2519046404847392, other:0.92|0.99|0.95, company:0.92|0.81|0.86, address:0.98|0.57|0.72, date:0.75|0.56|0.64, total:0.73|0.36|0.48
